"created","text"
"22/04/2017","Malassss (at Gunadarma University Karawaci)  https://t.co/jqNCnvWFTN"
"22/04/2017","Nostalgia jaman kuliah  (with Dita at Universitas Gunadarma kampus D)  https://t.co/q6DzVXI2zV"
"22/04/2017","Bad-Day huft (with Sinta at Kampus L2 Universitas Gunadarma)  https://t.co/bYUug1uSWJ"
"22/04/2017","Yookk Dateng yookk!! @ Universitas Gunadarma https://t.co/erYCwInbeL"
"22/04/2017","@gunadarma_ anda pegang mahasiswa anda ini, kami mau bertemu baik2 dan bertanya ! https://t.co/RN27i00NRP"
"22/04/2017","RT @UG_BEMFIKTI: HARI INI !!! Tepat akan dilaksanakan Main Event FAME 2017 di Auditorium D462 Univ. Gunadarma Depok.  See you there all"
"22/04/2017","RT @JesusMuslim: Mahasiswa @gunadarma_ kenal ini kagak ya https://t.co/DCir1IitXR"
"22/04/2017","Di FAME 2017 akan ada penampilan menarik dari UK Tari Tradisional Gunadarma  https://t.co/2AknZL1w8M"
"22/04/2017","RT @UG_BEMFIKTI: Di FAME 2017 akan ada penampilan menarik dari UK Tari Tradisional Gunadarma  https://t.co/2AknZL1w8M"
"22/04/2017","[LIVE REPORT] Penampilan Tari Merak oleh UK Tari Gunadarma pada Main Event FAME 2017  #FAME2017 https://t.co/cpWeavmx2Q"
"22/04/2017","Nunchaku @ Kampus H Univ. Gunadarma Kelapa 2 Depok . Jl. Akses UI https://t.co/wUbpj5iayZ"
"22/04/2017","Mogore @ Kampus H Univ. Gunadarma Kelapa 2 Depok . Jl. Akses UI https://t.co/pDS0YxY7nO"
"22/04/2017","[LIVE REPORT] Selanjutnya penampilan UK Tari Gunadarma pada Main Event FAME 2017  #FAME2017 https://t.co/khT2rcOBcq"
"22/04/2017","Cuacanya Indah sekali wkwkwkwk #rain #heavyrain #dailypict #school @ Universitas gunadarma kampus E https://t.co/S69XelHSp3"
"22/04/2017","Teknik industri gunadarma (at Mang Kabayan)  https://t.co/XIUZFvXA9Q"
"22/04/2017","Ngerayain ultah~ (with V at Kampus J5 Universitas Gunadarma)  https://t.co/syGq87mema"
"22/04/2017","Selamat datang anggota anggota baru Vespa Gunadarma  (at Cisarua, Jawa Barat)  https://t.co/N9yr5uu27l"
"22/04/2017","@gunadarma_ min , mau tau biayanya dong ada linknya ga ?"
"22/04/2017","@AryaniGianna Informasi biaya dapat diperoleh langsung hanya pada bagian berwenang pada Counter Pendaftaran Kampus."
"22/04/2017","@gunadarma_ jadi kitanya harus kesana ya ?"
"22/04/2017"," (with Novi and Hilmy at Kampus F4 Universitas Gunadarma)  https://t.co/h9LkmmXFvq"
"22/04/2017","Universitas Gunadarma? Kpn ya sekampus sama oshi :( https://t.co/D5xPwZKSQE"
"22/04/2017","@gunadarma_ min tolong retweet dong tadi siang kehilangan laptop merk acer warna abu abu yg ngeliat tolong hubungin kesini min di G228/G222"
"22/04/2017","@gunadarma_ sekitar jam 12an min"
"22/04/2017","@gunadarma_ Assalammu'alaikum, jika ada kejadian kehilangan barang lapornya ke bagian apa ya ? Rekan saya kehilangan laptop di Kampus G"
"21/04/2017","@Vieri_Lusen Dapat diperoleh hanya pada Counter Pendaftaran Kampus."
"21/04/2017","RT @gunadarma_: Pengumuman Beasiswa YPKAAR &amp; DP 2017 Rekrutmen Baru. https://t.co/HDmZ1KixBj"
"21/04/2017","@gunadarma_ Sidang Skripsi tgl 22 April pengumuman diundur / tidaknya bisa dilihat dimana di web tdk ada? udah H-1 tolong ditindak lanjuti"
"21/04/2017","@gunadarma_ Lokasi sidang skripsi tgl 22 april juga tolong admin di follow up ke pihak terkait, apakah ada perubahan atau tidak"
"21/04/2017","kak @miund aku jg UGM (Universitas Gunadarma Margonda) "
"21/04/2017","@gunadarma_ 15 mei min. Bisa ga kalo daftar ulang setelah pengumuman SBMPTN?"
"21/04/2017","@ThufailRuhiyat Pada blanko tertulis pembayaran paling lambat 15 Mei? Artinya paling lambat pembayaran 15 Mei. Daft https://t.co/gHZSTJqcZm"
"21/04/2017","@agungsa94 Diubah menjadi 13 Mei."
"21/04/2017","@gunadarma_ jadi tidak bisa dirubah yaa?"
"21/04/2017","Uber Tujuannya kemana ya ka Penumpang Gunadarma kelapa 2 Uber Siap kak Uber Wah promo ka Nol Penumpang Serius mas, makasih Uber Manyun"
"21/04/2017"," Lokasi : Auditorium Kampus D462 Universitas Gunadarma - Depok. Acaranya GRATIS, terbuka untuk UMUM, serta tidak memerlukan tiket"
"21/04/2017","1.Workshop batik oleh ""Batik Sukma"" - IDR 15K 2.Pameran seni lukis oleh ""Picasso Drawing Art"" - Free 3.Hasil karya seni Mahasiswa Gunadarma"
"21/04/2017","Juga beberapa penampilan dari : &gt; UK Tari Universitas  Gunadarma &gt; Angklung  &gt; Band Kuy &gt; Galassia &gt; Epiphone &gt; Musisiswa"
"21/04/2017","Halo Para Pecinta Seni  Badan Eksekutif Mahasiswa Fakultas Ilmu Komputer dan Teknologi Informasi Universitas Guna https://t.co/JjXtA7tHqM"
"21/04/2017","Otw kampus baru,Gunadarma :)"
"21/04/2017","@ThufailRuhiyat Paling lambat adalah sesuai tanggal yang diberikan pada blanko. Tidak lebih dari tanggal tersebut atau blanko hangus."
"21/04/2017","@Chea_Nabilah gue cowok, uda ganti tadi pagi di rumah sakit gunadarma"
"21/04/2017","Semangat ay tp gue ikut dekdekan juga (with ayu at Gunadarma University J1 Kalimalang)  https://t.co/rAZGZftxTa"
"21/04/2017","Ujian reguler untuk pendaftaran langsung di konter pendaftaran kampus D Gunadarma depok dibuka pada tanggal 6 Mei 2017."
"21/04/2017","tbtb si ag bilang dia dpt beasiswa dr gunadarma wakakak aseli belajar apaan ni org"
"21/04/2017","Seminggu dua qali  (at KAMPUS MAGISTER S2 UNIVERSITAS GUNADARMA)  https://t.co/vEEabr36O1"
"21/04/2017","Mahasiswa @gunadarma_ kenal ini kagak ya https://t.co/DCir1IitXR"
"21/04/2017","I added a video to a @YouTube playlist https://t.co/9S5J1WjDXe Menganalisis Arus Kas | Galeri Investasi Universitas Gunadarma"
"21/04/2017","Coming to S.E for Us  Amin.. @ Kampus D Universitas Gunadarma, Depok. https://t.co/UTRmG4LbZR"
"20/04/2017","Wait and wait #goodmorning #dailypict #BTS #BangtanBoys @ Kampus D Universitas Gunadarma, Depok. https://t.co/0WZ4uVTI7z"
"20/04/2017","HIMTI CUP  ""ALL FOR ONE, ONE FOR GLORY"" HIMTI Universitas Gunadarma kembali mengadakan https://t.co/bIkjnazkNx"
"20/04/2017"," (at Gunadarma University Karawaci)  https://t.co/5Z87gy6sLM"
"20/04/2017","Mager  #AdaAqua @ Kampus D Universitas Gunadarma, Depok. https://t.co/qjH3jhLqY4"
"20/04/2017","Gunadarma Industrial Engineering Fair (GIEF-2) 2017, Peningkatan Daya Saing Industri di Era https://t.co/BOjlJ5rs1O https://t.co/nz4bDm5hc5"
"20/04/2017","@gunadarma_ sudah min. Gimana jdinya?"
"20/04/2017","Just hanging out with beautiful tree @ Kampus E Gunadarma kelapa dua, depok https://t.co/Z1in1iZ9WB"
"20/04/2017","Paling males kuliah disini, apa alesanya selain jauh? Yap! Gersang banget! (at Kampus J5 Universitas Gunadarma)  https://t.co/r95daf272z"
"20/04/2017","Hari ini pengumuman utk hasil program beasiswa try out Gunadarma tlh dibuka. Bagi yg mendptkan SMS sgr ke kampus D Gunadarma gd 4 lt 5."
"20/04/2017","#Kompres2017 #LabTI #gunadarma #livecoding @ Kampus D Universitas Gunadarma, Depok. https://t.co/DhGfZIG9IK"
"20/04/2017","Di ruang makan Gunadarma, Bapak2 doseb asyik ngobrol ttg program Anis-Sandi. Biasa, pro-kontra ada saja."
"20/04/2017","@ThufailRuhiyat Informasi terdapat pada blanko tersebut."
"20/04/2017","Dinsos Depok Ajak Lisuma Gunadarma Peringati Hari Lansia   https://t.co/B0ohavCg28 https://t.co/SSjHMPX97C"
"20/04/2017","Mimin barusan balik dr Gunadarma #enJOyGunadarma cc: @JakampusGUNDAR https://t.co/1Fs9s7VDnJ"
"20/04/2017","RT @PPMBUG_DEPOK: Hari ini pengumuman utk hasil program beasiswa try out Gunadarma tlh dibuka. Bagi yg mendptkan SMS sgr ke kampus D Gunada"
"20/04/2017","Ingin belajar tentang Manajemen Portofolio ? yuk ke Galeri Investasi Universitas Gunadarma https://t.co/3GmkAXOJkl"
"20/04/2017","Keluarga besar #LabTI @ #Kompres2017 #teknikinformatika #gunadarma @ Auditorium Kampus D, https://t.co/UomlgG6gAy"
"20/04/2017"," (with Novi at Kampus F4 Universitas Gunadarma)  https://t.co/R9JlXvcWDh"
"20/04/2017","Sini lu maju!! @ Universitas Gunadarma https://t.co/pUbmmwS4qb"
"20/04/2017","Ucap Janji Mahasiswa Angkatan XIII Program Studi Diploma III Kebidanan. https://t.co/cHz5OhFriS"
"20/04/2017","RT @PPMBUG_DEPOK: FYI, Pendaftaran Online untuk calon mahasiswa baru jalur reguler dan pmdk online sudah dibuka. Silahkan akses di https://"
"20/04/2017","A  See You Again [From ""Furious 7""] by Wiz Khalifa (w/ Swara Darmagita at Kampus Palem Universitas Gunadarma)  https://t.co/RHKgDU4PZa"
"20/04/2017","Pengumuman Beasiswa YPKAAR &amp; DP 2017 Rekrutmen Baru. https://t.co/HDmZ1KixBj"
"20/04/2017","@gunadarma_ Sidang tanggal 22 April katanya ada pengumuman diundur jadi / tidaknya dimana melihatnya ? sampai sekarang di web nya tidak ada"
"20/04/2017","@gunadarma_ pengumuman penerimaan asisten perpus kampus H itu biasanya gimana ya"
"20/04/2017","@gunadarma_ Sidang S1 tgl 22 April katanya ada pengumuman diundur jadi / tidaknya dimana melihatnya ? sampai sekarang di web nya tidak ada"
